@relation 'city_day-weka.filters.unsupervised.attribute.Remove-R2,15-weka.filters.unsupervised.attribute.Remove-R13-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.attribute.Remove-R14-15-weka.filters.unsupervised.attribute.NumericTransform-R8,11-12-Cjava.lang.Math-Mlog-weka.filters.unsupervised.attribute.NumericTransform-R2-7,9-10-Cjava.lang.Math-Mcbrt-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.supervised.instance.SpreadSubsample-M-1.0-X0.0-S1'

@attribute City {Ahmedabad,Aizawl,Amaravati,Amritsar,Bengaluru,Bhopal,Brajrajnagar,Chandigarh,Chennai,Coimbatore,Delhi,Ernakulam,Gurugram,Guwahati,Hyderabad,Jaipur,Jorapokhar,Kochi,Kolkata,Lucknow,Mumbai,Patna,Shillong,Talcher,Thiruvananthapuram,Visakhapatnam}
@attribute PM2.5 numeric
@attribute PM10 numeric
@attribute NO numeric
@attribute NO2 numeric
@attribute NOx numeric
@attribute NH3 numeric
@attribute CO numeric
@attribute SO2 numeric
@attribute O3 numeric
@attribute Benzene numeric
@attribute Toluene numeric
@attribute AQI_Bucket {Poor,'Very Poor',Severe,Moderate,Satisfactory,Good}

@data
Lucknow,0.554786,0.489155,0.194406,0.288884,0.207515,0.388686,0.556793,0.338997,0.495553,0.545059,0.639541,'Very Poor'
Brajrajnagar,0.506881,0.659629,0.367242,0.428811,0.529274,0.27126,0.629897,0.384917,0.398728,0.545059,0.639541,'Very Poor'
Lucknow,0.578996,0.489155,0.212735,0.478752,0.409219,0.451171,0.387146,0.359382,0.518443,?,?,'Very Poor'
Patna,0.588912,0.489155,0.635704,0.400978,0.708553,0.388686,0.50108,0.274109,0.281759,0.356965,0.514815,'Very Poor'
Talcher,0.525203,0.630201,0.2268,0.225566,0.320308,0.127032,0.526621,0.513595,0.447406,?,0.639541,'Very Poor'
Gurugram,0.547598,0.711264,0.571319,0.567414,0.655616,0.388686,0.477099,0.404353,0.491343,0.601265,0.69442,'Very Poor'
Kolkata,0.570626,0.66736,0.36412,0.566002,0.627799,0.395343,0.498763,0.429746,0.572105,0.587457,0.627258,'Very Poor'
Ahmedabad,0.348823,0.489155,0.29256,0.556223,0.394599,0.388686,0.734488,0.716225,0.543721,0.559545,0.753479,'Very Poor'
Delhi,0.491879,0.703753,0.450983,0.500083,0.410374,0.442886,0.444398,0.472759,0.475444,0.550335,0.603474,'Very Poor'
Jorapokhar,0.398158,0.708527,0.231859,0.246866,0.440314,0.243307,?,0.403257,0.45337,0.545059,0.639541,'Very Poor'
Lucknow,0.51693,0.489155,0.282686,0.502042,0.455388,0.444996,0.48979,0.273904,0.557191,0.356965,0.471439,'Very Poor'
Patna,0.555921,0.489155,0.356404,0.266353,0.345872,0.388686,0.5661,0.473525,0.61604,0.56536,0.760771,'Very Poor'
Patna,0.513558,0.489155,0.320048,0.663961,0.468158,0.388686,0.45689,0.453646,0.764905,0.346237,0.545653,'Very Poor'
Lucknow,0.549529,0.489155,0.287873,0.481454,0.438172,0.465683,0.476129,0.358875,0.513197,0.269485,0.336678,'Very Poor'
Talcher,0.562912,0.652371,0.277517,0.433764,0.490552,0.388686,0.409975,0.510352,0.433843,?,0.639541,'Very Poor'
Lucknow,0.610248,0.489155,0.518852,0.565606,0.440314,0.388686,0.588524,0.339137,0.567834,0.493991,0.632152,'Very Poor'
Amritsar,0.504577,0.627044,0.535048,0.322149,0.598995,0.183866,0.556793,0.306822,0.399337,0.642069,0.660212,'Very Poor'
Gurugram,0.557948,0.672082,0.406082,0.3673,0.448747,0.388686,0.548494,0.304965,0.495859,0.478839,0.567099,'Very Poor'
Delhi,0.591165,0.680106,0.570678,0.555344,0.295401,0.580873,0.527804,0.483868,0.601155,0.60417,0.681814,'Very Poor'
Kolkata,0.505545,0.616417,0.477965,0.577466,0.688357,0.491687,0.454511,0.40002,0.503928,0.651482,0.701229,'Very Poor'
Lucknow,0.594515,0.489155,0.305021,0.558553,0.501896,0.510895,0.495591,0.350717,0.46779,0.484168,0.441598,'Very Poor'
Jorapokhar,0.398158,0.725179,0.23224,0.25424,0.440314,0.241649,?,0.403257,0.395038,0.545059,0.639541,'Very Poor'
Gurugram,0.473052,0.489155,0.340274,0.425738,0.439407,0.388686,0.406186,0.311624,0.47061,0.517733,0.639541,'Very Poor'
Ahmedabad,0.392686,0.44752,0.306921,0.750062,0.628246,0.388686,0.747298,0.97862,0.454211,0.500299,0.73846,'Very Poor'
Patna,0.508825,0.489155,0.322158,0.390968,0.479693,0.388686,0.497979,0.296083,0.440911,0.252486,0.36841,'Very Poor'
Talcher,0.570637,0.730509,0.195593,0.351285,0.354074,0.174033,0.56447,0.563493,0.411748,?,0.639541,'Very Poor'
Patna,0.557868,0.489155,0.277798,0.386157,0.328432,0.388686,0.539984,0.635249,0.496534,0.346237,0.556038,'Very Poor'
Gurugram,0.548713,0.489155,0.137682,0.349135,0.250141,0.388686,0.492317,0.401059,0.452648,0.545059,0.639541,'Very Poor'
Patna,0.586831,0.489155,0.249664,0.352728,0.417269,0.388686,0.486322,0.139726,0.191156,0.269485,0.360947,'Very Poor'
Delhi,0.569391,0.773328,0.498485,0.572496,0.64297,0.44934,0.668596,0.402918,0.675359,0.514796,0.605611,'Very Poor'
Patna,0.51024,0.489155,0.254311,0.349831,0.297905,0.388686,0.524821,0.641554,0.615634,0.685628,0.799302,'Very Poor'
Lucknow,0.553612,0.489155,0.268148,0.456319,0.440314,0.388686,0.555456,0.34481,0.641363,0.53303,0.748443,'Very Poor'
Delhi,0.499428,0.601385,0.361718,0.498649,0.497947,0.443668,0.477099,0.417161,0.489786,0.53752,0.709443,'Very Poor'
Patna,0.711484,0.489155,0.301726,0.337107,0.324379,0.388686,0.575002,0.515757,0.496534,0.563166,0.71479,'Very Poor'
Gurugram,0.581428,0.489155,0.258288,0.354636,0,0.388686,0.546554,0.366468,0.446604,0.444797,0.487243,'Very Poor'
Kolkata,0.521358,0.648856,0.336627,0.614331,0.658047,0.509375,0.519222,0.490757,0.549066,0.666772,0.760638,'Very Poor'
Delhi,0.575225,0.728545,0.555589,0.577221,0.679903,0.488639,0.556349,0.469129,0.685307,0.582178,0.683357,'Very Poor'
Visakhapatnam,0.563183,0.699051,0.435324,0.590296,0.577767,0.377601,0.546063,0.423727,0.539451,0.638279,0.684451,'Very Poor'
Gurugram,0.508156,0.489155,0.261646,0.364161,0,0.388686,0.496393,0.29265,0.477035,0.465917,0.501185,'Very Poor'
Delhi,0.512376,0.551994,0.359526,0.50314,0.415337,0.50055,0.354566,0.471143,0.495859,0.551348,0.625112,'Very Poor'
Patna,0.537199,0.489155,0.465897,0.402754,0.57655,0.388686,0.525424,0.356578,0.445861,0.307289,0.418515,'Very Poor'
Delhi,0.550496,0.665812,0.474486,0.524571,0.595139,0.697652,0.714675,0.307994,0.535865,0.610526,0.711229,'Very Poor'
Patna,0.518172,0.489155,0.375617,0.650244,0.485781,0.388686,0.526024,0.614415,0.606983,0.350677,0.551116,'Very Poor'
Ahmedabad,0.519041,0.489155,0.216787,0.581713,0.479348,0.388686,0.656305,0.883376,0.44716,0.674145,0.364753,'Very Poor'
Ahmedabad,0.533327,0.489155,0.273046,0.306336,0.397018,0.388686,0.716178,0.426802,0.588798,0.470826,0.586619,'Very Poor'
Patna,0.62143,0.489155,0.372341,0.306248,0.364585,0.388686,0.567306,0.540129,0.49098,0.550589,0.726781,'Very Poor'
Ahmedabad,0.456556,0.489155,0.323958,0.611339,0.527538,0.388686,0.761832,0.657779,0.496534,0.612378,0.751497,'Very Poor'
Lucknow,0.599057,0.489155,0.180678,0.330594,0.286232,0.388686,0.514645,0.308991,0.512049,0.545059,0.639541,'Very Poor'
Lucknow,0.531648,0.489155,0.428251,0.60367,0.577344,0.240952,0.548012,0.367443,0.434038,0.589152,0.692886,'Very Poor'
Gurugram,0.722756,0.489155,0.214342,0.281938,0.440314,0.388686,0.391694,0.243334,0.374538,0.129252,0.554344,'Very Poor'
Kolkata,0.539837,0.641838,0.562291,0.610531,0.698818,0.478916,0.494782,0.462188,0.515241,0.675552,0.714308,'Very Poor'
Gurugram,0.543225,0.489155,0.275345,0.384704,0.440314,0.388686,?,0.304115,0.52405,0.438251,0.590176,'Very Poor'
Lucknow,0.52812,0.489155,0.290666,0.430568,0.223451,0.388686,0.531272,0.304285,0.545598,0.545059,0.639541,'Very Poor'
Talcher,0.513384,0.7542,0.294518,0.22356,0.354145,0.238982,0.618684,0.551754,0.270657,?,0.639541,'Very Poor'
Delhi,0.638304,0.737476,0.467349,0.539397,0.583259,0.454968,0.530702,0.411493,0.531877,0.570833,0.772556,'Very Poor'
Lucknow,0.590485,0.489155,0.327927,0.459106,0.436836,0.478518,0.514645,0.330221,0.586765,0.529911,0.686426,'Very Poor'
Patna,0.599237,0.489155,0.399076,0.432219,0.549564,0.388686,0.504828,0.181799,0.306252,0.350677,0.453124,'Very Poor'
Lucknow,0.641099,0.489155,0.149505,0.30203,0.223451,0.388686,0.676316,0.300321,0.550617,0.545059,0.639541,'Very Poor'
Gurugram,0.585397,0.489155,0.240501,0.290355,0.440314,0.388686,0.558343,0.247552,0.42,0.544555,0.759021,'Very Poor'
Delhi,0.545257,0.623056,0.462289,0.546802,0.636074,0.491497,0.528973,0.464655,0.65301,0.566223,0.700519,'Very Poor'
Delhi,0.596971,0.697598,0.572036,0.552425,0.647521,0.628422,0.547043,0.456281,0.505061,0.622541,0.732478,'Very Poor'
Lucknow,0.544489,0.489155,0.195761,0.398752,0.233089,0.388686,0.503345,0.277352,0.598593,0.509423,0.532434,'Very Poor'
Guwahati,0.53481,0.653801,0.456235,0.426124,0.651282,0.398001,0.519859,0.511084,0.460539,0.552101,0.639541,'Very Poor'
Talcher,0.50057,0.601126,0.224937,0.225872,0.319274,0.127444,0.531272,0.511415,0.480511,?,0.639541,'Very Poor'
Lucknow,0.591423,0.489155,0.279382,0.311312,0.192068,0.388686,0.596338,0.301017,0.516375,0.292339,0.394783,'Very Poor'
Gurugram,0.574182,0.567956,0.34034,0.485983,0.468278,0.388686,0.488934,0.403257,0.673764,0.545059,0.639541,'Very Poor'
Lucknow,0.581598,0.489155,0.433586,0.568257,0.562392,0.385561,0.555006,0.322243,0.417213,0.373626,0.508249,'Very Poor'
Lucknow,0.531711,0.489155,0.406847,0.52568,0.528044,0.451438,0.507012,0.401163,0.539407,0.553343,0.676898,'Very Poor'
Patna,0.497586,0.489155,0.422837,0.595272,0.481638,0.388686,0.568498,0.567561,0.583371,0.553343,0.759914,'Very Poor'
Delhi,0.526461,0.607996,0.300013,0.441659,0.465895,0.694204,0.698176,0.232607,0.428832,0.525362,0.59965,'Very Poor'
Delhi,0.615061,0.714591,0.54607,0.534205,0.304605,0.564953,0.525424,0.496843,0.606461,0.58573,0.705764,'Very Poor'
Lucknow,0.531497,0.489155,0.268447,0.486285,0.254569,0.388686,0.505561,0.269326,0.505306,0.5526,0.596753,'Very Poor'
Delhi,0.516519,0.676088,0.494231,0.578853,0.658921,0.487487,0.525424,0.466233,0.787141,0.624171,0.728719,'Very Poor'
Gurugram,0.661357,0.807872,0.381324,0.403983,0.466584,0.388686,0.452075,0.385029,0.481373,0.530858,0.602314,'Very Poor'
Patna,0.618228,0.489155,0.5689,0.426124,0.663617,0.388686,0.593593,0.30119,0.395735,0.35897,0.464666,'Very Poor'
Delhi,0.520261,0.644397,0.504971,0.504128,0.592263,0.478717,0.515312,0.434362,0.514814,0.573851,0.750906,'Very Poor'
Delhi,0.52158,0.748495,0.46172,0.588225,0.591911,0.473161,0.546554,0.436859,0.619138,0.588647,0.607563,'Very Poor'
Gurugram,0.709769,0.489155,0.214196,0.346959,0.440314,0.388686,0.379922,0.239764,0.366517,0.10243,0.546983,'Very Poor'
Gurugram,0.559346,0.489155,0.161195,0.314888,0.274343,0.388686,0.573884,0.430202,0.535997,0.545059,0.639541,'Very Poor'
Patna,0.621683,0.489155,0.312044,0.318638,0.325797,0.388686,0.564058,0.607663,0.58632,0.546698,0.720794,'Very Poor'
Lucknow,0.515922,0.489155,0.470154,0.562014,0.581622,0.560076,0.497979,0.35032,0.437981,0.354916,0.402558,'Very Poor'
Gurugram,0.599589,0.489155,0.239298,0.282246,0.440314,0.388686,0.558343,0.309157,0.445985,0.512912,0.726896,'Very Poor'
Gurugram,0.526256,0.489155,0.136798,0.241136,0.221672,0.388686,0.468022,0.347786,0.533568,0.545059,0.639541,'Very Poor'
Patna,0.605912,0.489155,0.355798,0.481761,0.405609,0.388686,0.553187,0.590137,0.533967,0.360933,0.545653,'Very Poor'
Lucknow,0.626065,0.489155,0.390715,0.552603,0.254569,0.388686,0.548012,0.362147,0.441164,0.588138,0.679037,'Very Poor'
Patna,0.529567,0.489155,0.245444,0.354161,0.416153,0.388686,0.484543,0.274314,0.440404,0.246054,0.336678,'Very Poor'
Ahmedabad,0.328295,0.432053,0.325385,0.503211,0.462294,0.388686,0.763019,0.648085,0.399185,0.545059,0.639541,'Very Poor'
Ahmedabad,0.309273,0.485999,0.305339,0.591392,0.527791,0.388686,0.745912,0.780316,0.571481,0.685209,0.842383,'Very Poor'
Gurugram,0.607472,0.489155,0.287608,0.387946,0.417623,0.388686,0.440333,0.139726,0.486327,0,0.639541,'Very Poor'
Patna,0.616758,0.489155,0.219745,0.183328,0.231291,0.388686,0.524821,0.541801,0.685501,0.535152,0.745096,'Very Poor'
Lucknow,0.57983,0.489155,0.426416,0.461487,0.23486,0.388686,0.542561,0.268054,0.532056,0.545059,0.639541,'Very Poor'
Ahmedabad,0.338609,0.489155,0.343595,0.442064,0.439088,0.388686,0.777773,0.658771,0.521515,0.62645,0.780977,'Very Poor'
Delhi,0.525653,0.706027,0.521656,0.543948,0.639691,0.445589,0.554555,0.410501,0.543121,0.632129,0.752143,'Very Poor'
Delhi,0.486105,0.620336,0.447272,0.575362,0.620011,0.468062,0.505561,0.489825,0.742025,0.485198,0.660993,'Very Poor'
Hyderabad,0.620322,0.473629,0.274964,0.343325,0.414056,0.288981,0.509151,0.333144,0.456714,0.483648,0.643229,'Very Poor'
Delhi,0.569104,0.692305,0.600501,0.562988,0.725002,0.470542,0.533521,0.465761,0.70371,0.569183,0.662459,'Very Poor'
Talcher,0.395334,0.719548,0.346288,0.08807,0.380458,0.245486,0.486322,0.52664,0.300492,0.545059,0.639541,'Very Poor'
Lucknow,0.625778,0.489155,0.470704,0.540665,0.571899,0.505197,0.564058,0.335163,0.465339,0.51367,0.56207,'Very Poor'
Delhi,0.472348,0.627283,0.499046,0.532622,0.506163,0.414501,0.436099,0.447359,0.502194,0.552848,0.617124,'Very Poor'
Patna,0.532426,0.586712,0.350447,0.424866,0.48537,0.505664,0.510552,0.329779,0.363921,0.526685,0.466562,'Very Poor'
Ahmedabad,0.423232,0.489155,0.298697,0.411628,0.477113,0.388686,0.740028,0.624562,0.712436,0.129252,?,'Very Poor'
Patna,0.541396,0.489155,0.343531,0.485,0.474622,0.388686,0.488934,0.347248,0.507849,0.269485,0.457362,'Very Poor'
Patna,0.590949,0.489155,0.258182,0.40621,0.324463,0.388686,0.54557,0.59362,0.627182,0.517371,0.711456,'Very Poor'
Guwahati,0.542027,0.614531,0.502772,0.300935,0.652733,0.354378,0.534075,0.38703,0.393638,0.625431,0.639541,'Very Poor'
Delhi,0.452941,0.673385,0.278452,0.475785,0.502839,0.514083,0.658949,0.363639,0.675643,0.481007,0.586619,'Very Poor'
Lucknow,0.603108,0.489155,0.389738,0.472027,0.491356,0.132225,0.536263,0.509552,0.384957,0.57185,0.742374,'Very Poor'
Patna,0.576415,0.489155,0.579192,0.431466,0.674135,0.388686,0.541023,0.326802,0.331435,0.352821,0.460085,'Very Poor'
Gurugram,0.587853,0.489155,0.240621,0.284591,0.440314,0.388686,0.558343,0.352428,0.332499,0.549567,0.763504,'Very Poor'
Patna,0.62067,0.489155,0.570266,0.669841,0.585221,0.388686,0.539461,0.719208,0.658807,0.663349,0.776016,'Very Poor'
Lucknow,0.580332,0.489155,0.24086,0.416414,0.440314,0.388686,0.490639,0.353604,0.404594,0.567078,0.656043,'Very Poor'
Patna,0.532802,0.489155,0.275535,0.326145,0.411209,0.388686,0.514645,0.298038,0.387462,0.320169,0.434814,'Very Poor'
Patna,0.590743,0.489155,0.39174,0.481031,0.424972,0.388686,0.596338,0.627108,0.509788,0.392026,0.551368,'Very Poor'
Talcher,0.542524,0.732743,0.487445,0.534961,0.641431,0.284994,0.546063,0.637496,0.418611,?,?,'Very Poor'
Jorapokhar,0.398158,0.694484,0.236246,0.243564,0.440314,0.243991,?,0.403257,0.436824,0.545059,0.639541,'Very Poor'
Amritsar,0.528209,0.651842,0.444604,0.391534,0.563727,0.478678,0.555006,0.341648,0.504667,0.60156,0.675043,'Very Poor'
Gurugram,0.545329,0.667964,0.375176,0.387716,0.458804,0.388686,0.481814,0.352952,0.539842,0.486217,0.568368,'Very Poor'
Gurugram,0.518475,0.489155,0.258076,0.35886,0,0.388686,0.555904,0.335307,0.445675,0.430293,0.478856,'Very Poor'
Delhi,0.563679,0.686168,0.604104,0.676432,0.735903,0.449832,0.54557,0.633344,0.916752,0.569598,0.679484,'Very Poor'
Delhi,0.592091,0.708629,0.501731,0.539335,0.601173,0.509977,0.530129,0.435703,0.507556,0.600673,0.780331,'Very Poor'
Ahmedabad,0.347452,0.514215,0.321143,0.605791,0.543545,0.388686,0.759477,0.918294,0.541443,0.685985,0.843114,'Very Poor'
Delhi,0.564983,0.645191,0.372453,0.486586,0.564115,0.496862,0.504828,0.363886,0.670582,0.511378,0.58238,'Very Poor'
Lucknow,0.541663,0.489155,0.253108,0.361103,0.361104,0.259252,0.513974,0.410898,0.329718,0.549824,0.619823,'Very Poor'
Ahmedabad,0.34855,0.489155,0.304782,0.607527,0.422912,0.388686,0.745423,0.637847,0.56929,0.559775,0.75345,'Very Poor'
Lucknow,0.572349,0.489155,0.316501,0.421395,0.425118,0.132225,0.534627,0.384021,0.344921,0.530858,0.702831,'Very Poor'
Delhi,0.453584,0.703886,0.346797,0.439846,0.531654,0.442517,0.591406,0.354773,0.715045,0.573255,0.626135,'Very Poor'
Lucknow,0.578524,0.489155,0.417842,0.557972,0.549213,0.371884,0.548494,0.305981,0.390256,0.31068,0.525382,'Very Poor'
Lucknow,0.460627,0.489155,0.310584,0.553667,0.440314,0.388686,0.529552,0.30766,0.696251,0.493991,0.582741,'Very Poor'
Brajrajnagar,0.578717,0.693461,0.331193,0.424818,0.507638,0.288981,0.625694,0.435436,0.382915,?,0.639541,'Very Poor'
Lucknow,0.550037,0.489155,0.397539,0.582866,0.551541,0.449385,0.526621,0.318826,0.484686,0.350677,0.433038,'Very Poor'
Ahmedabad,0.393389,0.489155,0.32324,0.324398,0.438493,0.388686,0.761234,0.293923,0.392778,?,?,'Very Poor'
Lucknow,0.550273,0.489155,0.306132,0.514049,0.468117,0.48212,0.483641,0.324233,0.487012,0.214683,0.417462,'Very Poor'
Delhi,0.579809,0.675929,0.403819,0.502999,0.53031,0.43387,0.508443,0.398975,0.51415,0.553589,0.745222,'Very Poor'
Lucknow,0.57529,0.489155,0.574,0.577766,0.651033,0.497752,0.550867,0.332563,0.41875,0.439931,0.485216,'Very Poor'
Delhi,0.466163,0.590847,0.365108,0.436825,0.485183,0.456453,0.744154,0.428095,0.485798,0.55768,0.642851,'Very Poor'
Gurugram,0.563713,0.489155,0.207789,0.255719,0.440314,0.388686,0.460359,0.285372,0.357419,0.517007,0.731571,'Very Poor'
Jorapokhar,0.398158,0.719392,0.230708,0.253992,0.440314,0.243307,?,0.747629,0.459662,0.545059,0.639541,'Very Poor'
Gurugram,0.482772,0.590177,0.225204,0.491471,0.456744,0.388686,0.459216,0.45832,0.492891,0.493524,0.596908,'Very Poor'
Talcher,0.450199,0.768062,0.436503,0.413158,0.432216,0.25802,0.607177,0.412382,0.341614,?,0.639541,'Very Poor'
Talcher,0.550626,0.747115,0.55429,0.405152,0.620378,0.408157,0.55855,0.618809,0.456358,?,?,'Very Poor'
Delhi,0.454578,0.666312,0.481924,0.470468,0.62008,0.383765,0.502595,0.409105,0.640012,0.577157,0.702682,'Very Poor'
Gurugram,0.553845,0.489155,0.226667,0.378846,0.366956,0.388686,0.534075,0.403257,0.524783,0.452381,0.428444,'Very Poor'
Lucknow,0.545138,0.489155,0.536492,0.525028,0.605651,0.422639,0.488071,0.461146,0.448451,0.553343,0.695393,'Very Poor'
Delhi,0.528489,0.555485,0.30629,0.414695,0.448572,0.445589,0.742075,0.290445,0.478996,0.496747,0.609744,'Very Poor'
Patna,0.528094,0.489155,0.246712,0.269176,0.313373,0.388686,0.48979,0.342616,0.531386,0.482601,0.577369,'Very Poor'
Talcher,0.479517,0.653724,0.085409,0.353685,0.351739,0.172798,0.527804,0.525002,0.040452,?,0.639541,'Very Poor'
Gurugram,0.563014,0.489155,0.198922,0.282861,0.440314,0.388686,0.777107,0.296261,0.338967,0.53575,0.75052,'Very Poor'
Lucknow,0.608663,0.489155,0.496566,0.559624,0.595661,0.522114,0.526621,0.338856,0.479321,0.469623,0.499881,'Very Poor'
Gurugram,0.637036,0.489155,0.151044,0.285197,0.440314,0.388686,0.460359,0.319608,0.332393,0.53897,0.753681,'Very Poor'
Talcher,0.423845,0.712895,0.417022,0.22449,0.397186,0.245891,0.070913,0.447019,0.312419,0.545059,0.639541,'Very Poor'
Chandigarh,0.482033,0.552005,0.192862,0.236428,0.27446,0.20405,0.433176,0.347114,0.379104,0.568347,0.597984,'Very Poor'
Jorapokhar,0.544585,0.676487,0.262886,0.289081,0.440314,0.237844,0.558343,0.80796,0.579142,0.545059,0.639541,'Very Poor'
Lucknow,0.535059,0.489155,0.182769,0.32028,0.232276,0.388686,0.76219,0.320076,0.572221,0.545059,0.639541,'Very Poor'
Gurugram,0.615958,0.766862,0.337028,0.351974,0.43785,0.388686,0.436099,0.481061,0.570623,?,?,'Very Poor'
Delhi,0.481278,0.658382,0.519525,0.578853,0.65358,0.496267,0.496393,0.405982,0.71259,0.489209,0.598593,'Very Poor'
Patna,0.543803,0.489155,0.333658,0.413064,0.367348,0.388686,0.558113,0.522082,0.577159,0.523682,0.717374,'Very Poor'
Talcher,0.459904,0.618538,0.396891,0.411628,0.491721,0.387577,0.534627,0.376945,0.455823,?,?,'Very Poor'
Amritsar,0.527954,0.654276,0.611936,0.443143,0.704421,0.265965,0.563645,0.301017,0.448574,0.63897,0.679356,'Very Poor'
Talcher,0.590794,0.782209,0.575774,0.581982,0.740479,0.312369,0.572374,0.609723,0.410596,?,?,'Very Poor'
Guwahati,0.5371,0.642734,0.576506,0.392492,0.753276,0.359531,0.521122,0.404456,0.421863,0.438251,0.639541,'Very Poor'
Gurugram,0.562291,0.489155,0.480341,0.35592,0.54208,0.388686,0.515312,0.295366,0.363109,0.482072,0.568368,'Very Poor'
Patna,0.632888,0.489155,0.52982,0.775837,0.606443,0.388686,0.550397,0.492683,0.490773,0.402543,0.570033,'Very Poor'
Delhi,0.546095,0.656264,0.466792,0.517322,0.5817,0.48687,0.539984,0.38447,0.603661,0.502026,0.58833,'Very Poor'
Lucknow,0.577041,0.489155,0.529022,0.628893,0.254569,0.388686,0.54557,0.3701,0.570505,0.494919,0.474936,'Very Poor'
Gurugram,0.587467,0.489155,0.232747,0.372877,0,0.388686,0.433176,0.309323,0.440023,0.435673,0.495397,'Very Poor'
Ahmedabad,0.364716,0.480892,0.315753,0.453672,0.431223,0.388686,0.754919,0.553305,0.496534,0.527012,0.787487,'Very Poor'
Lucknow,0.560418,0.489155,0.154298,0.299465,0.223451,0.388686,0.672386,0.272669,0.474064,0.545059,0.639541,'Very Poor'
Patna,0.53605,0.489155,0.475351,0.613507,0.516576,0.388686,0.561975,0.626745,0.620175,0.520229,0.711546,'Very Poor'
Patna,0.554705,0.489155,0.660725,0.620068,0.82381,0.388686,0.536263,0.199661,0.364461,0.279308,0.402558,'Very Poor'
Delhi,0.590062,0.718194,0.498452,0.523753,0.576576,0.549797,0.535175,0.468037,0.629885,0.560691,0.652107,'Very Poor'
Lucknow,0.491312,0.489155,0.381753,0.525354,0.254569,0.388686,0.531839,0.504771,0.490046,0.460068,0.507848,'Very Poor'
Delhi,0.618124,0.720142,0.540696,0.539149,0.203764,0.586489,0.548012,0.487878,0.651279,0.618705,0.716778,'Very Poor'
Lucknow,0.598182,0.489155,0.470007,0.488349,0.534692,0.512196,0.540505,0.35164,0.455585,0.517371,0.556038,'Very Poor'
Gurugram,0.534487,0.607254,0.532665,0.45877,0.595536,0.388686,0.559847,0.285753,0.413608,0.493991,0.596287,'Very Poor'
Delhi,0.519396,0.674267,0.478996,0.521516,0.573378,0.459568,0.513974,0.459696,0.533035,0.592128,0.807553,'Very Poor'
Ahmedabad,0.4901,0.489155,0.2268,0.574538,0.476492,0.388686,0.667851,0.749055,0.556413,0.64358,0.736474,'Very Poor'
Kolkata,0.536977,0.619274,0.615638,0.556953,0.674503,0.453254,0.515974,0.388684,0.506874,0.679076,0.725388,'Very Poor'
Lucknow,0.575539,0.489155,0.413757,0.641594,0.254569,0.388686,0.550867,0.259739,0.620242,0.578296,0.660838,'Very Poor'
Lucknow,0.63641,0.489155,0.299603,0.489691,0.450143,0.513001,0.519222,0.321317,0.47423,0.524694,0.613183,'Very Poor'
Patna,0.528679,0.489155,0.316352,0.292681,0.322356,0.388686,0.533521,0.51458,0.569761,0.54931,0.749742,'Very Poor'
Delhi,0.543948,0.61597,0.379331,0.493458,0.531716,0.505844,0.505561,0.430567,0.608372,0.515168,0.641328,'Very Poor'
Patna,0.445181,0.489155,0.3144,0.361823,0.442399,0.388686,0.493145,0.222436,0.350886,0.343934,0.467806,'Very Poor'
Talcher,0.435165,0.798126,0.3626,0.07802,0.389206,0.247499,0.512619,0.542099,0.28571,0.545059,0.639541,'Very Poor'
Gurugram,0.512914,0.489155,0.583363,0.516583,0.647373,0.388686,0.577564,0.317882,0.499397,?,?,'Very Poor'
Gurugram,0.562743,0.489155,0.237353,0.387946,0.375274,0.388686,0.573132,0.403257,0.445426,0.443203,0.413124,'Very Poor'
Patna,0.491049,0.489155,0.436503,0.398915,0.553906,0.388686,0.48979,0.275536,0.322685,0.300113,0.476636,'Very Poor'
Talcher,0.564579,0.665509,0.284852,0.432407,0.49234,0.388686,0.448309,0.427542,0.400172,?,0.639541,'Very Poor'
Patna,0.582542,0.489155,0.470118,0.459232,0.606562,0.388686,0.542051,0.288022,0.367758,0.341574,0.439111,'Very Poor'
Delhi,0.59132,0.715529,0.50342,0.577521,0.606107,0.504837,0.525424,0.403124,0.560565,0.541244,0.603041,'Very Poor'
Gurugram,0.491893,0.690442,0.313263,0.25424,0.365378,0.388686,0.363734,0.317408,0.488742,?,?,'Very Poor'
Brajrajnagar,0.577945,0.665993,0.296787,0.441388,0.50416,0.300664,0.624787,0.44863,0.431087,?,0.639541,'Very Poor'
Lucknow,0.544946,0.489155,0.446345,0.509704,0.440314,0.388686,0.566504,0.339418,0.634683,0.563166,0.641711,'Very Poor'
Brajrajnagar,0.540703,0.644729,0.365282,0.418769,0.493753,0.435587,0.600176,0.437391,0.315947,?,0.639541,'Very Poor'
Gurugram,0.610461,0.726397,0.461606,0.526752,0.581518,0.388686,0.542561,0.211405,0.503384,0.493991,0.596443,'Very Poor'
Patna,0.587092,0.489155,0.558438,0.473101,0.67682,0.388686,0.524821,0.204833,0.328637,0.346237,0.452398,'Very Poor'
Lucknow,0.600899,0.489155,0.433841,0.556281,0.556394,0.474379,0.577925,0.373787,0.530132,0.292339,0.433038,'Very Poor'
Talcher,0.43293,0.745439,0.375782,0.250474,0.442759,0.255399,0.534075,0.541742,0.33398,?,0.639541,'Very Poor'
